,loss,accuracy,jacard_coef,iou_score,f1-score,f2-score,precision,recall,val_loss,val_accuracy,val_jacard_coef,val_iou_score,val_f1-score,val_f2-score,val_precision,val_recall
1,0.18880532681941986,0.5706862211227417,0.5192023515701294,0.5199836492538452,0.6794520020484924,0.687160849571228,0.6780379414558411,0.6954550743103027,0.20599263906478882,0.4214111566543579,0.5165684223175049,0.41460558772087097,0.5379202365875244,0.5423318147659302,0.5718492269515991,0.6728403568267822
2,0.15161581337451935,0.5300273895263672,0.5951684713363647,0.6001423597335815,0.746176540851593,0.7504271268844604,0.7459782361984253,0.7550989389419556,0.19611220061779022,0.5984814763069153,0.538098931312561,0.4351802170276642,0.5583891868591309,0.5683794617652893,0.5816832184791565,0.7033330202102661
3,0.13227945566177368,0.6002156734466553,0.6376392245292664,0.6434828042984009,0.7796057462692261,0.7825523018836975,0.7790533900260925,0.7856521606445312,0.1909203976392746,0.5962642431259155,0.5495133996009827,0.45006439089775085,0.5733602046966553,0.5695065855979919,0.617428719997406,0.6932965517044067
4,0.12384802103042603,0.637005627155304,0.6570691466331482,0.6628451943397522,0.7940635681152344,0.7964697480201721,0.794124960899353,0.7991126775741577,0.1775437295436859,0.7652705311775208,0.5762783885002136,0.47420594096183777,0.5942326188087463,0.5951138734817505,0.6286969780921936,0.722057044506073
5,0.11641909927129745,0.6444003582000732,0.6746628880500793,0.6807708144187927,0.8070564866065979,0.8096638321876526,0.8061827421188354,0.8123060464859009,0.18933331966400146,0.5070240497589111,0.5570516586303711,0.46266743540763855,0.5863953828811646,0.5888925194740295,0.6234430074691772,0.7195061445236206
6,0.1119057834148407,0.6289899945259094,0.6852001547813416,0.6916985511779785,0.8150764107704163,0.8177850246429443,0.8138161897659302,0.820428192615509,0.16687588393688202,0.9060961008071899,0.5990731716156006,0.49179014563560486,0.6107023358345032,0.6251104474067688,0.6178188323974609,0.7607726454734802
7,0.10873933136463165,0.6830153465270996,0.693026602268219,0.6996995806694031,0.8207252025604248,0.8231554627418518,0.8198063373565674,0.8256012201309204,0.16840878129005432,0.5085476636886597,0.5956977009773254,0.4925088584423065,0.6110652089118958,0.622346818447113,0.622468888759613,0.7568647861480713
8,0.10576920211315155,0.6453223824501038,0.7001028060913086,0.7059286832809448,0.825123131275177,0.8271352052688599,0.824527382850647,0.829180121421814,0.1610814481973648,0.817997395992279,0.6087421774864197,0.504162073135376,0.6218809485435486,0.627875030040741,0.6404100060462952,0.7573930025100708
9,0.10256049036979675,0.7164723873138428,0.7077228426933289,0.7138527631759644,0.8306940197944641,0.8330619931221008,0.8292932510375977,0.835304319858551,0.16859544813632965,0.6440457105636597,0.5982123613357544,0.4977550208568573,0.6165509223937988,0.6037523150444031,0.6721747517585754,0.7173207998275757
10,0.10044080764055252,0.7199257016181946,0.712982714176178,0.7189275026321411,0.8341606259346008,0.8363881707191467,0.8331405520439148,0.8385761380195618,0.1688092052936554,0.9105377793312073,0.5997426509857178,0.4989367723464966,0.6172203421592712,0.609228789806366,0.6639863848686218,0.7272414565086365
11,0.09958117455244064,0.7364066243171692,0.71527099609375,0.721173107624054,0.8357234597206116,0.837427020072937,0.8353516459465027,0.8391889929771423,0.16121573746204376,0.8721837401390076,0.6074852347373962,0.5020971298217773,0.6202754974365234,0.6175374984741211,0.6553729772567749,0.7381560206413269
12,0.09982194006443024,0.7488007545471191,0.7146094441413879,0.7202995419502258,0.8351951837539673,0.8372195363044739,0.8343483805656433,0.8392261862754822,0.1627701222896576,0.8578022718429565,0.61024010181427,0.5031816363334656,0.6200799345970154,0.6171648502349854,0.6603102684020996,0.7398101091384888
13,0.09770474582910538,0.7409694194793701,0.7197126150131226,0.7252516746520996,0.8385701179504395,0.8409713506698608,0.8367981910705566,0.8431679606437683,0.16624580323696136,0.8259352445602417,0.597277045249939,0.49386438727378845,0.6119025349617004,0.6084775924682617,0.6497327089309692,0.7292357087135315
14,0.09691964089870453,0.6917643547058105,0.7216224074363708,0.7282544374465942,0.8405964970588684,0.8426740765571594,0.8395864367485046,0.8446889519691467,0.16733339428901672,0.7974837422370911,0.6036256551742554,0.4924245774745941,0.609766960144043,0.603829026222229,0.6570934653282166,0.7221717834472656
15,0.09505320340394974,0.6543473601341248,0.726215124130249,0.732833981513977,0.8437891006469727,0.8460009694099426,0.8422998189926147,0.8480382561683655,0.16530178487300873,0.8986784815788269,0.6009351015090942,0.4988681674003601,0.6171536445617676,0.6141923666000366,0.6545785665512085,0.7363780736923218
16,0.09336347132921219,0.7518578767776489,0.7302929162979126,0.7365389466285706,0.8463903665542603,0.848540723323822,0.8447725772857666,0.8504801988601685,0.17488941550254822,0.842739462852478,0.5858711004257202,0.47846102714538574,0.5975096821784973,0.5885294079780579,0.6497811675071716,0.706764280796051
17,0.09364104270935059,0.6791359186172485,0.7296707034111023,0.7357659339904785,0.8457720279693604,0.8478278517723083,0.8445616364479065,0.8497461080551147,0.16794802248477936,0.494706392288208,0.5976002812385559,0.4931440055370331,0.6120877861976624,0.6273159384727478,0.6197845339775085,0.7657012343406677
18,0.09412882477045059,0.7181655168533325,0.7286778688430786,0.7350483536720276,0.8453022837638855,0.847281277179718,0.8441488146781921,0.8491483330726624,0.16044282913208008,0.7954831719398499,0.6137475967407227,0.504981517791748,0.6208523511886597,0.6229603886604309,0.6457579731941223,0.74884033203125
19,0.09168366342782974,0.7222634553909302,0.7347352504730225,0.740708589553833,0.8491998314857483,0.8511320948600769,0.8477969169616699,0.8528885245323181,0.16616690158843994,0.8184276223182678,0.6050682067871094,0.4966519773006439,0.6121240258216858,0.6004538536071777,0.6732783913612366,0.7159510850906372
