,loss,accuracy,jacard_coef,val_loss,val_accuracy,val_jacard_coef
0,0.22328363358974457,0.9372739791870117,0.8243262767791748,0.13502444326877594,0.9601076245307922,0.8653680086135864
1,0.126553013920784,0.959252119064331,0.8854509592056274,0.1265823096036911,0.9601076245307922,0.8921485543251038
2,0.11513915657997131,0.9592739939689636,0.8933234810829163,0.11405742168426514,0.9601585268974304,0.8978729844093323
3,0.10609780251979828,0.960915207862854,0.8999997973442078,0.10463320463895798,0.963318407535553,0.9081929922103882
4,0.09710527956485748,0.9651102423667908,0.9071804285049438,0.09524692595005035,0.9657688736915588,0.9137395024299622
5,0.08537622541189194,0.9683321118354797,0.9157418608665466,0.082357257604599,0.9704188108444214,0.9231796264648438
6,0.07569915056228638,0.9727686047554016,0.9244267344474792,0.06948897242546082,0.9753082394599915,0.9296578168869019
7,0.06702437996864319,0.976028323173523,0.9327969551086426,0.06266491860151291,0.9776703119277954,0.9353590607643127
8,0.0609126016497612,0.9781471490859985,0.9385056495666504,0.056766070425510406,0.9796269536018372,0.9408538937568665
9,0.056218016892671585,0.9797869920730591,0.9429113864898682,0.051767636090517044,0.9814997911453247,0.9468672871589661
10,0.05242457240819931,0.9811301231384277,0.9465368390083313,0.04775393754243851,0.9828906059265137,0.950590968132019
11,0.0494781993329525,0.9821194410324097,0.9493384957313538,0.04586914926767349,0.9834848046302795,0.9521063566207886
12,0.04775012284517288,0.9827572703361511,0.9510487914085388,0.0438440665602684,0.9842092990875244,0.9549560546875
13,0.045862648636102676,0.983409583568573,0.9528542757034302,0.04290958121418953,0.9845936894416809,0.9560970067977905
14,0.044620268046855927,0.9838637709617615,0.9541165232658386,0.0411955751478672,0.9851127862930298,0.9570136666297913
15,0.04345354437828064,0.9842931032180786,0.9552929401397705,0.04034492373466492,0.9855937957763672,0.9597741365432739
16,0.04223449528217316,0.9847269058227539,0.9564810395240784,0.03912163898348808,0.985916256904602,0.959502637386322
17,0.0407787524163723,0.9852368235588074,0.9578765034675598,0.0387461856007576,0.986133873462677,0.959226667881012
18,0.04008105397224426,0.985531747341156,0.9586379528045654,0.03712642192840576,0.9866698980331421,0.9621537923812866
19,0.039194900542497635,0.9858128428459167,0.9594884514808655,0.037158939987421036,0.9866332411766052,0.9613240361213684
20,0.03856942802667618,0.9860567450523376,0.9601511359214783,0.035877931863069534,0.9871327877044678,0.9637674689292908
21,0.038026828318834305,0.9862794280052185,0.9607130289077759,0.03568058833479881,0.9871856570243835,0.9630289673805237
22,0.0371609702706337,0.9865849018096924,0.9616101980209351,0.036005567759275436,0.9870317578315735,0.9618532657623291
23,0.03681815415620804,0.986713171005249,0.9619433879852295,0.0355854369699955,0.9873176217079163,0.9631956219673157
24,0.036178600043058395,0.9869291186332703,0.9625797867774963,0.03548670932650566,0.9872774481773376,0.9640628099441528
